id,prompt,sample_idx,pred,method,end_kind,ntok
test-0000,A,0,60,final_answer,clean_final,276
test-0000,A,1,39,final_answer,clean_final,637
test-0000,A,2,60,final_answer,clean_final,356
test-0001,A,0,15,final_answer,clean_final,339
test-0001,A,1,15,boxed,sentence_end,342
test-0001,A,2,15,final_answer,clean_final,320
test-0002,A,0,3,final_answer,clean_final,329
test-0002,A,1,3,final_answer,clean_final,230
test-0002,A,2,3,final_answer,clean_final,347
test-0003,A,0,8,final_answer,clean_final,421
test-0003,A,1,7,final_answer,clean_final,466
test-0003,A,2,49,final_answer,clean_final,528
test-0004,A,0,3,final_answer,clean_final,434
test-0004,A,1,3,final_answer,clean_final,376
test-0004,A,2,3,final_answer,mid_cut,839
test-0005,A,0,5,final_answer,clean_final,458
test-0005,A,1,10,final_answer,clean_final,639
test-0005,A,2,500,final_answer,clean_final,1046
test-0006,A,0,94,final_answer,clean_final,234
test-0006,A,1,116,final_answer,clean_final,525
test-0006,A,2,94,final_answer,clean_final,260
test-0007,A,0,15,final_answer,clean_final,1049
test-0007,A,1,3,final_answer,clean_final,355
test-0007,A,2,3,final_answer,clean_final,341
test-0008,A,0,25,final_answer,clean_final,258
test-0008,A,1,25,final_answer,clean_final,216
test-0008,A,2,25,final_answer,clean_final,112
test-0009,A,0,3,final_answer,clean_final,350
test-0009,A,1,14,boxed,mid_cut,761
test-0009,A,2,15,final_answer,clean_final,1202
test-0010,A,0,2,final_answer,clean_final,257
test-0010,A,1,2,final_answer,clean_final,421
test-0010,A,2,2,final_answer,clean_final,178
test-0011,A,0,30730,final_answer,clean_final,637
test-0011,A,1,960,final_answer,clean_final,350
test-0011,A,2,30720,final_answer,clean_final,655
test-0012,A,0,123,final_answer,clean_final,350
test-0012,A,1,41,final_answer,clean_final,395
test-0012,A,2,42,final_answer,clean_final,317
test-0013,A,0,21,final_answer,clean_final,217
test-0013,A,1,21,final_answer,clean_final,209
test-0013,A,2,21,final_answer,clean_final,214
test-0014,A,0,4800,final_answer,clean_final,220
test-0014,A,1,4800,final_answer,clean_final,159
test-0014,A,2,4800,final_answer,clean_final,235
test-0015,A,0,337,final_answer,clean_final,512
test-0015,A,1,337,final_answer,clean_final,493
test-0015,A,2,337,final_answer,clean_final,414
test-0016,A,0,4,final_answer,clean_final,270
test-0016,A,1,4,final_answer,clean_final,340
test-0016,A,2,0,final_answer,clean_final,451
test-0017,A,0,3,final_answer,clean_final,266
test-0017,A,1,2,final_answer,clean_final,284
test-0017,A,2,3,final_answer,clean_final,483
test-0018,A,0,3,final_answer,clean_final,1174
test-0018,A,1,1,boxed,mid_cut,1204
test-0018,A,2,1,final_answer,clean_final,1059
test-0019,A,0,700,final_answer,clean_final,526
test-0019,A,1,500,final_answer,clean_final,361
test-0019,A,2,500,final_answer,clean_final,412
test-0020,A,0,18,boxed,mid_cut,877
test-0020,A,1,19,final_answer,clean_final,965
test-0020,A,2,13,final_answer,clean_final,704
test-0021,A,0,3,final_answer,clean_final,883
test-0021,A,1,9,final_answer,clean_final,782
test-0021,A,2,3,final_answer,clean_final,1302
test-0022,A,0,-1,final_answer,clean_final,902
test-0022,A,1,-3,final_answer,clean_final,814
test-0022,A,2,-1,final_answer,clean_final,600
test-0023,A,0,5151,final_answer,clean_final,695
test-0023,A,1,10,final_answer,clean_final,1024
test-0023,A,2,29,final_answer,clean_final,1024
test-0024,A,0,1,final_answer,clean_final,159
test-0024,A,1,1,final_answer,clean_final,186
test-0024,A,2,1,final_answer,clean_final,201
test-0025,A,0,39,final_answer,clean_final,338
test-0025,A,1,39,final_answer,clean_final,280
test-0025,A,2,39,final_answer,clean_final,323
test-0026,A,0,24,final_answer,clean_final,251
test-0026,A,1,24,final_answer,clean_final,350
test-0026,A,2,24,final_answer,clean_final,253
test-0027,A,0,45,final_answer,clean_final,297
test-0027,A,1,45,final_answer,clean_final,213
test-0027,A,2,45,final_answer,clean_final,229
test-0028,A,0,54,final_answer,clean_final,638
test-0028,A,1,150,final_answer,clean_final,421
test-0028,A,2,150,final_answer,clean_final,807
test-0029,A,0,8,final_answer,clean_final,810
test-0029,A,1,4,final_answer,clean_final,605
test-0029,A,2,2,final_answer,clean_final,415
test-0030,A,0,6,final_answer,clean_final,268
test-0030,A,1,4,final_answer,clean_final,423
test-0030,A,2,0,final_answer,clean_final,334
test-0031,A,0,10,final_answer,clean_final,335
test-0031,A,1,10,final_answer,clean_final,198
test-0031,A,2,10,final_answer,clean_final,231
test-0032,A,0,-1,final_answer,clean_final,633
test-0032,A,1,-1,answer_is,mid_cut,544
test-0032,A,2,-1,final_answer,clean_final,521
test-0033,A,0,1,final_answer,clean_final,1190
test-0033,A,1,9,final_answer,clean_final,1022
test-0033,A,2,36,last_number,ends_digit,1536
test-0034,A,0,12,final_answer,clean_final,916
test-0034,A,1,7,final_answer,clean_final,942
test-0034,A,2,12,final_answer,clean_final,1319
test-0035,A,0,1,final_answer,clean_final,549
test-0035,A,1,1,final_answer,clean_final,724
test-0035,A,2,1,final_answer,clean_final,817
test-0036,A,0,115,final_answer,clean_final,357
test-0036,A,1,142,final_answer,clean_final,247
test-0036,A,2,142,final_answer,clean_final,313
test-0037,A,0,24,final_answer,clean_final,339
test-0037,A,1,24,final_answer,clean_final,416
test-0037,A,2,24,final_answer,clean_final,386
test-0038,A,0,1009,final_answer,clean_final,617
test-0038,A,1,1018081,final_answer,clean_final,760
test-0038,A,2,1,final_answer,clean_final,647
test-0039,A,0,30,final_answer,clean_final,172
test-0039,A,1,30,final_answer,clean_final,130
test-0039,A,2,30,final_answer,clean_final,105
test-0040,A,0,3249,final_answer,clean_final,1036
test-0040,A,1,3249,final_answer,clean_final,775
test-0040,A,2,3249,boxed,mid_cut,1022
test-0041,A,0,3,final_answer,clean_final,152
test-0041,A,1,3,final_answer,clean_final,55
test-0041,A,2,3,final_answer,clean_final,124
test-0042,A,0,51,final_answer,clean_final,340
test-0042,A,1,51,final_answer,clean_final,447
test-0042,A,2,51,final_answer,clean_final,376
test-0043,A,0,14,final_answer,clean_final,365
test-0043,A,1,14,final_answer,clean_final,366
test-0043,A,2,14,final_answer,clean_final,283
test-0044,A,0,9,final_answer,clean_final,218
test-0044,A,1,9,final_answer,clean_final,222
test-0044,A,2,9,final_answer,clean_final,220
test-0045,A,0,90,final_answer,clean_final,526
test-0045,A,1,105,final_answer,clean_final,479
test-0045,A,2,90,final_answer,clean_final,457
test-0046,A,0,1320,final_answer,clean_final,524
test-0046,A,1,105,final_answer,clean_final,539
test-0046,A,2,42,final_answer,clean_final,424
test-0047,A,0,60,final_answer,clean_final,265
test-0047,A,1,60,final_answer,clean_final,259
test-0047,A,2,60,final_answer,clean_final,319
test-0048,A,0,25,final_answer,clean_final,239
test-0048,A,1,25,final_answer,clean_final,392
test-0048,A,2,25,final_answer,clean_final,291
test-0049,A,0,242,final_answer,clean_final,948
test-0049,A,1,380,final_answer,clean_final,826
test-0049,A,2,150,final_answer,clean_final,1024
test-0050,A,0,495.0,final_answer,clean_final,415
test-0050,A,1,95.0,final_answer,clean_final,498
test-0050,A,2,10296.0,final_answer,clean_final,680
test-0051,A,0,4650.0,final_answer,clean_final,388
test-0051,A,1,4650.0,final_answer,clean_final,392
test-0051,A,2,2325.0,final_answer,clean_final,333
test-0052,A,0,13.0,last_number,mid_cut,1536
test-0052,A,1,15.0,last_number,ends_digit,1536
test-0052,A,2,3.0,last_number,mid_cut,1536
test-0053,A,0,2.0,final_answer,clean_final,430
test-0053,A,1,2.0,final_answer,clean_final,301
test-0053,A,2,4.0,boxed,mid_cut,492
test-0054,A,0,8.0,final_answer,clean_final,204
test-0054,A,1,8.0,final_answer,clean_final,304
test-0054,A,2,8.0,final_answer,clean_final,257
test-0055,A,0,262.0,final_answer,clean_final,520
test-0055,A,1,262.0,final_answer,clean_final,544
test-0055,A,2,262.0,final_answer,clean_final,721
test-0056,A,0,756.0,final_answer,clean_final,366
test-0056,A,1,756.0,final_answer,clean_final,274
test-0056,A,2,0.0,final_answer,clean_final,432
test-0057,A,0,,fail,sentence_end,1146
test-0057,A,1,0.0,final_answer,clean_final,649
test-0057,A,2,1.0,final_answer,clean_final,1038
test-0058,A,0,15.0,final_answer,clean_final,209
test-0058,A,1,15.0,final_answer,clean_final,120
test-0058,A,2,15.0,final_answer,clean_final,198
test-0059,A,0,3.0,final_answer,clean_final,738
test-0059,A,1,91.0,final_answer,clean_final,614
test-0059,A,2,3.0,final_answer,clean_final,687
test-0060,A,0,38.0,final_answer,clean_final,538
test-0060,A,1,65.0,final_answer,clean_final,374
test-0060,A,2,55.0,final_answer,clean_final,350
test-0061,A,0,1563.0,final_answer,clean_final,267
test-0061,A,1,1563.0,final_answer,clean_final,235
test-0061,A,2,1563.0,final_answer,clean_final,227
test-0062,A,0,256.0,final_answer,clean_final,1365
test-0062,A,1,2916.0,final_answer,clean_final,1415
test-0062,A,2,8.0,final_answer,clean_final,1352
test-0063,A,0,190.0,boxed,mid_cut,1206
test-0063,A,1,0.0,final_answer,clean_final,1522
test-0063,A,2,144.0,final_answer,clean_final,992
test-0064,A,0,104.0,final_answer,clean_final,203
test-0064,A,1,104.0,final_answer,clean_final,167
test-0064,A,2,104.0,final_answer,clean_final,241
test-0065,A,0,20.0,final_answer,clean_final,396
test-0065,A,1,5.0,final_answer,clean_final,631
test-0065,A,2,9.0,final_answer,clean_final,234
test-0066,A,0,21.0,final_answer,clean_final,167
test-0066,A,1,21.0,final_answer,clean_final,136
test-0066,A,2,21.0,final_answer,clean_final,218
test-0067,A,0,546.0,final_answer,clean_final,211
test-0067,A,1,546.0,final_answer,clean_final,193
test-0067,A,2,546.0,final_answer,clean_final,151
test-0068,A,0,50.0,final_answer,clean_final,383
test-0068,A,1,50.0,final_answer,clean_final,268
test-0068,A,2,50.0,final_answer,clean_final,327
test-0069,A,0,270.0,final_answer,clean_final,228
test-0069,A,1,270.0,final_answer,clean_final,266
test-0069,A,2,270.0,final_answer,clean_final,300
test-0070,A,0,600.0,final_answer,clean_final,251
test-0070,A,1,600.0,final_answer,clean_final,274
test-0070,A,2,600.0,final_answer,clean_final,233
test-0071,A,0,5.0,final_answer,clean_final,118
test-0071,A,1,5.0,final_answer,clean_final,159
test-0071,A,2,5.0,final_answer,clean_final,177
test-0072,A,0,4020.0,final_answer,clean_final,713
test-0072,A,1,21145.0,boxed,sentence_end,1265
test-0072,A,2,2010.0,final_answer,clean_final,396
test-0073,A,0,284.0,final_answer,clean_final,1036
test-0073,A,1,284.0,final_answer,clean_final,604
test-0073,A,2,250.0,final_answer,clean_final,739
test-0074,A,0,10.0,final_answer,clean_final,280
test-0074,A,1,10.0,final_answer,clean_final,198
test-0074,A,2,10.0,final_answer,clean_final,193
test-0075,A,0,7.0,boxed,mid_cut,1398
test-0075,A,1,15.0,final_answer,clean_final,1155
test-0075,A,2,9.0,final_answer,clean_final,1029
test-0076,A,0,-2.0,final_answer,clean_final,880
test-0076,A,1,4.0,final_answer,clean_final,949
test-0076,A,2,4.0,final_answer,clean_final,760
test-0077,A,0,874.0,final_answer,clean_final,238
test-0077,A,1,874.0,final_answer,clean_final,304
test-0077,A,2,874.0,answer_is,ends_digit,344
test-0078,A,0,16.0,final_answer,clean_final,673
test-0078,A,1,256.0,boxed,sentence_end,623
test-0078,A,2,241.0,final_answer,clean_final,501
test-0079,A,0,1120.0,final_answer,clean_final,1286
test-0079,A,1,1068.0,final_answer,clean_final,753
test-0079,A,2,73634.0,answer_is,mid_cut,1292
test-0080,A,0,5.0,boxed,mid_cut,489
test-0080,A,1,5.0,final_answer,clean_final,519
test-0080,A,2,41.0,final_answer,clean_final,597
test-0081,A,0,66.0,final_answer,clean_final,1462
test-0081,A,1,600.0,final_answer,clean_final,1089
test-0081,A,2,8940.0,last_number,mid_cut,1536
test-0082,A,0,1075.0,final_answer,clean_final,185
test-0082,A,1,1075.0,final_answer,clean_final,251
test-0082,A,2,1075.0,final_answer,clean_final,247
test-0083,A,0,12.0,boxed,mid_cut,714
test-0083,A,1,8.0,final_answer,clean_final,688
test-0083,A,2,6.0,boxed,sentence_end,908
test-0084,A,0,1800.0,final_answer,clean_final,462
test-0084,A,1,1800.0,final_answer,clean_final,494
test-0084,A,2,1800.0,final_answer,clean_final,427
test-0085,A,0,683.0,answer_is,mid_cut,745
test-0085,A,1,870.0,final_answer,clean_final,482
test-0085,A,2,242.0,final_answer,clean_final,655
test-0086,A,0,20.0,final_answer,clean_final,333
test-0086,A,1,0.0,final_answer,clean_final,229
test-0086,A,2,0.0,final_answer,clean_final,173
test-0087,A,0,-24.0,final_answer,clean_final,452
test-0087,A,1,-24.0,final_answer,clean_final,471
test-0087,A,2,-24.0,final_answer,clean_final,546
test-0088,A,0,1060.0,boxed,sentence_end,767
test-0088,A,1,800.0,final_answer,clean_final,503
test-0088,A,2,990.0,final_answer,clean_final,606
test-0089,A,0,7.0,final_answer,clean_final,177
test-0089,A,1,7.0,final_answer,clean_final,107
test-0089,A,2,7.0,final_answer,clean_final,86
test-0090,A,0,75.0,final_answer,clean_final,231
test-0090,A,1,75.0,final_answer,clean_final,312
test-0090,A,2,75.0,final_answer,clean_final,307
test-0091,A,0,700.0,final_answer,clean_final,249
test-0091,A,1,700.0,final_answer,clean_final,266
test-0091,A,2,700.0,final_answer,clean_final,212
test-0092,A,0,50.0,final_answer,clean_final,236
test-0092,A,1,50.0,final_answer,clean_final,266
test-0092,A,2,50.0,final_answer,clean_final,188
test-0093,A,0,32.0,final_answer,clean_final,289
test-0093,A,1,32.0,final_answer,clean_final,299
